id,company_name,industry,sub_industry,city,state,website,phone,contact_email,employee_count,estimated_revenue,founded_year,linkedin_url,growth_signals,source,description
15,Crestline Motorworks,Automotive Services,Car Wash Chain,Tampa,FL,https://www.crestlinemotorworks.com,(319) 166-3912,info@crestlinemotorworks.com,115,11700000,2019,https://www.linkedin.com/company/crestlinemotorworks,hiring;new location opened,Google Maps,"Crestline Motorworks is a car wash chain business based in Tampa, FL, operating in the automotive services space since 2019."
16,Sterling Learning Group,Education & Training,Tutoring Services,Columbus,OH,https://www.sterlinglearninggroup.com,(760) 242-2566,info@sterlinglearninggroup.com,108,12040000,2008,https://www.linkedin.com/company/sterlinglearninggroup,,LinkedIn Company Search,"Sterling Learning Group is a tutoring services business based in Columbus, OH, operating in the education & training space since 2008."
17,Anchor Fleet Co,Automotive Services,Auto Repair,Omaha,NE,https://www.anchorfleetco.com,(693) 578-8840,info@anchorfleetco.com,219,26380000,2012,https://www.linkedin.com/company/anchorfleetco,recent leadership change;hiring;expanded service area,LinkedIn Company Search,"Anchor Fleet Co is a auto repair business based in Omaha, NE, operating in the automotive services space since 2012."
18,Union Home Services,HVAC & Home Services,HVAC Installation,Portland,OR,https://www.unionhomeservices.com,,info@unionhomeservices.com,114,18480000,2017,,,LinkedIn Company Search,"Union Home Services is a hvac installation business based in Portland, OR, operating in the hvac & home services space since 2017."
19,Granite Logistics,Logistics & Distribution,Warehousing,Raleigh,NC,https://www.granitelogistics.com,(123) 625-2768,info@granitelogistics.com,90,17680000,1986,https://www.linkedin.com/company/granitelogistics,new location opened,Google Maps,"Granite Logistics is a warehousing business based in Raleigh, NC, operating in the logistics & distribution space since 1986."
20,Highland Service Center,Automotive Services,Fleet Maintenance,Charlotte,NC,https://www.highlandservicecenter.com,(471) 376-8261,info@highlandservicecenter.com,92,15140000,1978,https://www.linkedin.com/company/highlandservicecenter,recent leadership change;press mention,LinkedIn Company Search,"Highland Service Center is a fleet maintenance business based in Charlotte, NC, operating in the automotive services space since 1978."
21,Union Comfort Systems,HVAC & Home Services,Plumbing,Kansas City,MO,https://www.unioncomfortsystems.com,(276) 295-6310,info@unioncomfortsystems.com,112,25510000,2018,https://www.linkedin.com/company/unioncomfortsystems,new location opened;expanded service area,LinkedIn Company Search,"Union Comfort Systems is a plumbing business based in Kansas City, MO, operating in the hvac & home services space since 2018."
22,Crestline Consulting Group,Professional Services,Staffing Agency,Salt Lake City,UT,https://www.crestlineconsultinggroup.com,(119) 878-3570,info@crestlineconsultinggroup.com,99,23340000,2010,https://www.linkedin.com/company/crestlineconsultinggroup,recent leadership change;hiring,State Business Registry,"Crestline Consulting Group is a staffing agency business based in Salt Lake City, UT, operating in the professional services space since 2010."
23,Cedarbrook Education Partners,Education & Training,Childcare,Cincinnati,OH,https://www.cedarbrookeducationpartners.com,(551) 673-1390,info@cedarbrookeducationpartners.com,166,19960000,2009,https://www.linkedin.com/company/cedarbrookeducationpartners,new location opened,Google Maps,"Cedarbrook Education Partners is a childcare business based in Cincinnati, OH, operating in the education & training space since 2009."
24,Lakeside Auto Group,Automotive Services,Auto Repair,Austin,TX,https://www.lakesideautogroup.com,(108) 179-5648,info@lakesideautogroup.com,95,15710000,1996,https://www.linkedin.com/company/lakesideautogroup,new location opened;hiring,State Business Registry,"Lakeside Auto Group is a auto repair business based in Austin, TX, operating in the automotive services space since 1996."
25,Vanguard Motorworks,Automotive Services,Car Wash Chain,Nashville,TN,https://www.vanguardmotorworks.com,(285) 772-9617,info@vanguardmotorworks.com,36,3650000,1980,https://www.linkedin.com/company/vanguardmotorworks,website redesign;recent leadership change,Industry Directory,"Vanguard Motorworks is a car wash chain business based in Nashville, TN, operating in the automotive services space since 1980."
26,Apex Provisions,Food & Beverage,Food Distribution,Charlotte,NC,https://www.apexprovisions.com,(782) 747-7266,info@apexprovisions.com,243,43670000,1977,https://www.linkedin.com/company/apexprovisions,recent leadership change;press mention;hiring,Industry Directory,"Apex Provisions is a food distribution business based in Charlotte, NC, operating in the food & beverage space since 1977."
27,Riverside Advisors,Professional Services,Marketing Agency,Austin,TX,https://www.riversideadvisors.com,(399) 892-4768,info@riversideadvisors.com,29,5860000,1995,https://www.linkedin.com/company/riversideadvisors,hiring;website redesign;new location opened,State Business Registry,"Riverside Advisors is a marketing agency business based in Austin, TX, operating in the professional services space since 1995."
28,Vanguard Advisors,Professional Services,Law Firm,Phoenix,AZ,https://www.vanguardadvisors.com,,info@vanguardadvisors.com,102,9860000,1976,,new location opened,LinkedIn Company Search,"Vanguard Advisors is a law firm business based in Phoenix, AZ, operating in the professional services space since 1976."
29,Highland IT Group,IT Services & MSP,Software Support,Tucson,AZ,https://www.highlanditgroup.com,(429) 405-5444,info@highlanditgroup.com,185,26840000,2021,https://www.linkedin.com/company/highlanditgroup,website redesign;recent leadership change;hiring,Industry Directory,"Highland IT Group is a software support business based in Tucson, AZ, operating in the it services & msp space since 2021."
30,Lakeside IT Group,IT Services & MSP,Cloud Consulting,Pittsburgh,PA,https://www.lakesideitgroup.com,(388) 100-8457,info@lakesideitgroup.com,100,14600000,2018,,press mention;hiring,Industry Directory,"Lakeside IT Group is a cloud consulting business based in Pittsburgh, PA, operating in the it services & msp space since 2018."
31,Pioneer Advisors,Professional Services,Staffing Agency,Kansas City,MO,https://www.pioneeradvisors.com,(490) 604-5085,info@pioneeradvisors.com,119,12980000,1999,https://www.linkedin.com/company/pioneeradvisors,press mention;expanded service area;new location opened,State Business Registry,"Pioneer Advisors is a staffing agency business based in Kansas City, MO, operating in the professional services space since 1999."
32,Foundry Comfort Systems,HVAC & Home Services,Electrical,Sacramento,CA,https://www.foundrycomfortsystems.com,(829) 644-6157,info@foundrycomfortsystems.com,187,27250000,1981,https://www.linkedin.com/company/foundrycomfortsystems,expanded service area,State Business Registry,"Foundry Comfort Systems is a electrical business based in Sacramento, CA, operating in the hvac & home services space since 1981."
33,Riverside Freight,Logistics & Distribution,Warehousing,Richmond,VA,https://www.riversidefreight.com,(611) 227-2051,info@riversidefreight.com,12,1470000,1980,https://www.linkedin.com/company/riversidefreight,recent leadership change;website redesign;new location opened,Google Maps,"Riverside Freight is a warehousing business based in Richmond, VA, operating in the logistics & distribution space since 1980."
34,Cedarbrook Mechanical,HVAC & Home Services,Electrical,Austin,TX,https://www.cedarbrookmechanical.com,(201) 445-8638,info@cedarbrookmechanical.com,71,9730000,1987,https://www.linkedin.com/company/cedarbrookmechanical,hiring,Industry Directory,"Cedarbrook Mechanical is a electrical business based in Austin, TX, operating in the hvac & home services space since 1987."
35,Apex Contracting,Construction,General Contracting,Tucson,AZ,https://www.apexcontracting.com,(810) 216-5973,info@apexcontracting.com,247,47990000,1976,https://www.linkedin.com/company/apexcontracting,hiring;expanded service area;new location opened,LinkedIn Company Search,"Apex Contracting is a general contracting business based in Tucson, AZ, operating in the construction space since 1976."
36,Foundry Academy,Education & Training,Tutoring Services,Tampa,FL,https://www.foundryacademy.com,(673) 447-6234,info@foundryacademy.com,162,38970000,2002,https://www.linkedin.com/company/foundryacademy,recent leadership change,State Business Registry,"Foundry Academy is a tutoring services business based in Tampa, FL, operating in the education & training space since 2002."
37,Highland Auto Group,Automotive Services,Auto Repair,Raleigh,NC,https://www.highlandautogroup.com,(103) 394-3684,info@highlandautogroup.com,241,24800000,2003,https://www.linkedin.com/company/highlandautogroup,hiring,Industry Directory,"Highland Auto Group is a auto repair business based in Raleigh, NC, operating in the automotive services space since 2003."
38,Meridian Industrial,Manufacturing,Precision Machining,Milwaukee,WI,,(439) 274-9448,,85,10970000,1995,https://www.linkedin.com/company/meridianindustrial,new location opened,Industry Directory,"Meridian Industrial is a precision machining business based in Milwaukee, WI, operating in the manufacturing space since 1995."
39,Lakeside Care Network,Healthcare Services,Dental Practice,Pittsburgh,PA,https://www.lakesidecarenetwork.com,(696) 347-6375,info@lakesidecarenetwork.com,63,15330000,1975,https://www.linkedin.com/company/lakesidecarenetwork,press mention;website redesign;expanded service area,Industry Directory,"Lakeside Care Network is a dental practice business based in Pittsburgh, PA, operating in the healthcare services space since 1975."
40,Bluepeak Supply Co,Logistics & Distribution,Warehousing,Boise,ID,https://www.bluepeaksupplyco.com,(382) 664-3535,info@bluepeaksupplyco.com,235,48180000,1998,https://www.linkedin.com/company/bluepeaksupplyco,expanded service area;recent leadership change;new location opened,Google Maps,"Bluepeak Supply Co is a warehousing business based in Boise, ID, operating in the logistics & distribution space since 1998."
41,Anchor Builders,Construction,Specialty Trades,Boise,ID,https://www.anchorbuilders.com,(832) 381-7454,info@anchorbuilders.com,147,26280000,1997,https://www.linkedin.com/company/anchorbuilders,new location opened;hiring,Google Maps,"Anchor Builders is a specialty trades business based in Boise, ID, operating in the construction space since 1997."
42,Westbrook Air Solutions,HVAC & Home Services,Plumbing,Nashville,TN,https://www.westbrookairsolutions.com,(521) 482-9671,info@westbrookairsolutions.com,36,4920000,1992,https://www.linkedin.com/company/westbrookairsolutions,,State Business Registry,"Westbrook Air Solutions is a plumbing business based in Nashville, TN, operating in the hvac & home services space since 1992."
43,Anchor Logistics,Logistics & Distribution,Warehousing,Columbus,OH,https://www.anchorlogistics.com,(741) 927-3172,info@anchorlogistics.com,55,8710000,1999,https://www.linkedin.com/company/anchorlogistics,new location opened;expanded service area,Google Maps,"Anchor Logistics is a warehousing business based in Columbus, OH, operating in the logistics & distribution space since 1999."
44,Apex Comfort Systems,HVAC & Home Services,Plumbing,Pittsburgh,PA,https://www.apexcomfortsystems.com,(944) 704-3817,info@apexcomfortsystems.com,214,36240000,2011,https://www.linkedin.com/company/apexcomfortsystems,,LinkedIn Company Search,"Apex Comfort Systems is a plumbing business based in Pittsburgh, PA, operating in the hvac & home services space since 2011."
45,Riverside Technologies,IT Services & MSP,Software Support,Tampa,FL,https://www.riversidetechnologies.com,(402) 150-8430,info@riversidetechnologies.com,63,6550000,1985,https://www.linkedin.com/company/riversidetechnologies,recent leadership change,LinkedIn Company Search,"Riverside Technologies is a software support business based in Tampa, FL, operating in the it services & msp space since 1985."
46,Vanguard Foods,Food & Beverage,Food Distribution,Cincinnati,OH,https://www.vanguardfoods.com,(841) 928-8828,info@vanguardfoods.com,142,15530000,2011,https://www.linkedin.com/company/vanguardfoods,press mention,LinkedIn Company Search,"Vanguard Foods is a food distribution business based in Cincinnati, OH, operating in the food & beverage space since 2011."
47,Northgate Clinic Group,Healthcare Services,Home Health Care,Pittsburgh,PA,https://www.northgateclinicgroup.com,(351) 876-6887,info@northgateclinicgroup.com,217,45940000,2003,https://www.linkedin.com/company/northgateclinicgroup,recent leadership change;new location opened;expanded service area,LinkedIn Company Search,"Northgate Clinic Group is a home health care business based in Pittsburgh, PA, operating in the healthcare services space since 2003."
48,Timber Education Partners,Education & Training,Tutoring Services,Cincinnati,OH,https://www.timbereducationpartners.com,(158) 249-6393,info@timbereducationpartners.com,27,6410000,1998,,new location opened,Google Maps,"Timber Education Partners is a tutoring services business based in Cincinnati, OH, operating in the education & training space since 1998."
49,Meridian Manufacturing,Manufacturing,Packaging,Richmond,VA,https://www.meridianmanufacturing.com,(316) 103-9268,info@meridianmanufacturing.com,64,13020000,1988,https://www.linkedin.com/company/meridianmanufacturing,press mention;website redesign,Google Maps,"Meridian Manufacturing is a packaging business based in Richmond, VA, operating in the manufacturing space since 1988."
50,Vanguard Training Institute,Education & Training,Tutoring Services,Tucson,AZ,https://www.vanguardtraininginstitute.com,(980) 253-5333,info@vanguardtraininginstitute.com,177,25220000,2019,,expanded service area;new location opened;hiring,Google Maps,"Vanguard Training Institute is a tutoring services business based in Tucson, AZ, operating in the education & training space since 2019."
51,Cascade Construction Group,Construction,General Contracting,Raleigh,NC,https://www.cascadeconstructiongroup.com,,info@cascadeconstructiongroup.com,76,12200000,2000,,,State Business Registry,"Cascade Construction Group is a general contracting business based in Raleigh, NC, operating in the construction space since 2000."
52,Pioneer Contracting,Construction,Commercial Construction,Boise,ID,https://www.pioneercontracting.com,(851) 889-9749,info@pioneercontracting.com,151,14140000,2003,https://www.linkedin.com/company/pioneercontracting,hiring;recent leadership change,Google Maps,"Pioneer Contracting is a commercial construction business based in Boise, ID, operating in the construction space since 2003."
53,Riverside Training Institute,Education & Training,Tutoring Services,Columbus,OH,https://www.riversidetraininginstitute.com,(862) 864-3358,info@riversidetraininginstitute.com,34,6150000,1978,,,State Business Registry,"Riverside Training Institute is a tutoring services business based in Columbus, OH, operating in the education & training space since 1978."
54,Apex Industrial,Manufacturing,Precision Machining,Sacramento,CA,https://www.apexindustrial.com,(359) 675-3088,info@apexindustrial.com,65,9460000,2014,https://www.linkedin.com/company/apexindustrial,press mention;expanded service area,State Business Registry,"Apex Industrial is a precision machining business based in Sacramento, CA, operating in the manufacturing space since 2014."
55,Redstone Provisions,Food & Beverage,Food Distribution,Nashville,TN,https://www.redstoneprovisions.com,(868) 766-6593,info@redstoneprovisions.com,145,28770000,2019,https://www.linkedin.com/company/redstoneprovisions,press mention;website redesign,Google Maps,"Redstone Provisions is a food distribution business based in Nashville, TN, operating in the food & beverage space since 2019."
56,Crestline Learning Group,Education & Training,Childcare,Cincinnati,OH,https://www.crestlinelearninggroup.com,,info@crestlinelearninggroup.com,130,23070000,1997,https://www.linkedin.com/company/crestlinelearninggroup,press mention,Industry Directory,"Crestline Learning Group is a childcare business based in Cincinnati, OH, operating in the education & training space since 1997."
57,Highland Beverage Co,Food & Beverage,Commercial Bakery,Indianapolis,IN,https://www.highlandbeverageco.com,(315) 406-4068,info@highlandbeverageco.com,215,51710000,2008,https://www.linkedin.com/company/highlandbeverageco,website redesign,Industry Directory,"Highland Beverage Co is a commercial bakery business based in Indianapolis, IN, operating in the food & beverage space since 2008."
58,Crestline Academy,Education & Training,Vocational School,Raleigh,NC,https://www.crestlineacademy.com,(317) 766-5476,info@crestlineacademy.com,87,21030000,1999,https://www.linkedin.com/company/crestlineacademy,expanded service area;recent leadership change;press mention,Google Maps,"Crestline Academy is a vocational school business based in Raleigh, NC, operating in the education & training space since 1999."
59,Highland Comfort Systems,HVAC & Home Services,Electrical,Omaha,NE,https://www.highlandcomfortsystems.com,(112) 926-3301,info@highlandcomfortsystems.com,48,6980000,1984,https://www.linkedin.com/company/highlandcomfortsystems,expanded service area;new location opened;website redesign,Google Maps,"Highland Comfort Systems is a electrical business based in Omaha, NE, operating in the hvac & home services space since 1984."
60,Redstone Technologies,IT Services & MSP,Software Support,Milwaukee,WI,,(674) 429-8088,,182,31400000,1981,https://www.linkedin.com/company/redstonetechnologies,expanded service area,LinkedIn Company Search,"Redstone Technologies is a software support business based in Milwaukee, WI, operating in the it services & msp space since 1981."
61,Lakeside Health Partners,Healthcare Services,Physical Therapy,Boise,ID,https://www.lakesidehealthpartners.com,(194) 173-8033,info@lakesidehealthpartners.com,59,13580000,1985,https://www.linkedin.com/company/lakesidehealthpartners,expanded service area;press mention,LinkedIn Company Search,"Lakeside Health Partners is a physical therapy business based in Boise, ID, operating in the healthcare services space since 1985."
62,Apex Wellness,Healthcare Services,Home Health Care,Indianapolis,IN,https://www.apexwellness.com,(128) 552-4235,info@apexwellness.com,138,18160000,1985,https://www.linkedin.com/company/apexwellness,new location opened;hiring;recent leadership change,Industry Directory,"Apex Wellness is a home health care business based in Indianapolis, IN, operating in the healthcare services space since 1985."
63,Cedarbrook Works,Manufacturing,Packaging,Kansas City,MO,https://www.cedarbrookworks.com,(719) 272-3312,info@cedarbrookworks.com,106,23060000,1989,https://www.linkedin.com/company/cedarbrookworks,press mention;new location opened,LinkedIn Company Search,"Cedarbrook Works is a packaging business based in Kansas City, MO, operating in the manufacturing space since 1989."
64,Pioneer Development,Construction,Specialty Trades,Indianapolis,IN,https://www.pioneerdevelopment.com,(898) 770-3482,info@pioneerdevelopment.com,135,25170000,1987,https://www.linkedin.com/company/pioneerdevelopment,recent leadership change;press mention;hiring,Google Maps,"Pioneer Development is a specialty trades business based in Indianapolis, IN, operating in the construction space since 1987."
65,Redstone Technologies,IT Services & MSP,Cybersecurity,Sacramento,CA,https://www.redstonetechnologies.com,(956) 819-3264,info@redstonetechnologies.com,32,6570000,2018,https://www.linkedin.com/company/redstonetechnologies,press mention,Industry Directory,"Redstone Technologies is a cybersecurity business based in Sacramento, CA, operating in the it services & msp space since 2018."
66,Pioneer Logistics,Logistics & Distribution,Freight Brokerage,Kansas City,MO,https://www.pioneerlogistics.com,,info@pioneerlogistics.com,76,9240000,1993,https://www.linkedin.com/company/pioneerlogistics,press mention;new location opened,Google Maps,"Pioneer Logistics is a freight brokerage business based in Kansas City, MO, operating in the logistics & distribution space since 1993."
67,Granite Mechanical,HVAC & Home Services,Roofing,Milwaukee,WI,https://www.granitemechanical.com,(902) 616-6120,info@granitemechanical.com,90,16080000,1986,https://www.linkedin.com/company/granitemechanical,new location opened;recent leadership change;hiring,LinkedIn Company Search,"Granite Mechanical is a roofing business based in Milwaukee, WI, operating in the hvac & home services space since 1986."
68,Harbor Academy,Education & Training,Corporate Training,Omaha,NE,https://www.harboracademy.com,(837) 353-8071,info@harboracademy.com,217,50030000,1985,https://www.linkedin.com/company/harboracademy,hiring;recent leadership change,Google Maps,"Harbor Academy is a corporate training business based in Omaha, NE, operating in the education & training space since 1985."
69,Redstone Foods,Food & Beverage,Craft Beverage,Pittsburgh,PA,https://www.redstonefoods.com,,info@redstonefoods.com,131,30530000,1991,https://www.linkedin.com/company/redstonefoods,,State Business Registry,"Redstone Foods is a craft beverage business based in Pittsburgh, PA, operating in the food & beverage space since 1991."
70,Lakeside Builders,Construction,General Contracting,Columbus,OH,https://www.lakesidebuilders.com,(756) 175-9647,info@lakesidebuilders.com,228,21590000,1994,https://www.linkedin.com/company/lakesidebuilders,press mention;hiring;expanded service area,Industry Directory,"Lakeside Builders is a general contracting business based in Columbus, OH, operating in the construction space since 1994."
71,Crestline Beverage Co,Food & Beverage,Catering,Raleigh,NC,https://www.crestlinebeverageco.com,(702) 369-1632,info@crestlinebeverageco.com,133,34030000,1982,https://www.linkedin.com/company/crestlinebeverageco,press mention;new location opened,Industry Directory,"Crestline Beverage Co is a catering business based in Raleigh, NC, operating in the food & beverage space since 1982."
72,Harbor IT Group,IT Services & MSP,Cybersecurity,Portland,OR,https://www.harboritgroup.com,(400) 771-2503,info@harboritgroup.com,173,16130000,1995,https://www.linkedin.com/company/harboritgroup,hiring;expanded service area,LinkedIn Company Search,"Harbor IT Group is a cybersecurity business based in Portland, OR, operating in the it services & msp space since 1995."
73,Harbor Learning Group,Education & Training,Tutoring Services,Raleigh,NC,https://www.harborlearninggroup.com,(310) 952-6293,info@harborlearninggroup.com,154,39120000,1996,https://www.linkedin.com/company/harborlearninggroup,press mention,State Business Registry,"Harbor Learning Group is a tutoring services business based in Raleigh, NC, operating in the education & training space since 1996."
74,Summit Beverage Co,Food & Beverage,Food Distribution,Charlotte,NC,https://www.summitbeverageco.com,(210) 776-3443,info@summitbeverageco.com,247,39850000,1977,https://www.linkedin.com/company/summitbeverageco,press mention,Google Maps,"Summit Beverage Co is a food distribution business based in Charlotte, NC, operating in the food & beverage space since 1977."
75,Summit Distribution,Logistics & Distribution,Wholesale Distribution,Cincinnati,OH,https://www.summitdistribution.com,(278) 137-7271,info@summitdistribution.com,42,10700000,2010,https://www.linkedin.com/company/summitdistribution,website redesign;hiring;expanded service area,Google Maps,"Summit Distribution is a wholesale distribution business based in Cincinnati, OH, operating in the logistics & distribution space since 2010."
76,Apex Partners,Professional Services,Marketing Agency,Tampa,FL,https://www.apexpartners.com,(208) 464-3487,info@apexpartners.com,123,29880000,2022,https://www.linkedin.com/company/apexpartners,hiring,Google Maps,"Apex Partners is a marketing agency business based in Tampa, FL, operating in the professional services space since 2022."
77,Bluepeak Clinic Group,Healthcare Services,Dental Practice,Denver,CO,https://www.bluepeakclinicgroup.com,(757) 725-4637,info@bluepeakclinicgroup.com,96,20580000,2006,,website redesign,Industry Directory,"Bluepeak Clinic Group is a dental practice business based in Denver, CO, operating in the healthcare services space since 2006."
78,Bluepeak Consulting Group,Professional Services,Accounting Firm,Salt Lake City,UT,https://www.bluepeakconsultinggroup.com,(847) 788-2271,info@bluepeakconsultinggroup.com,29,6420000,2003,https://www.linkedin.com/company/bluepeakconsultinggroup,website redesign,Google Maps,"Bluepeak Consulting Group is a accounting firm business based in Salt Lake City, UT, operating in the professional services space since 2003."
79,Coastal Education Partners,Education & Training,Tutoring Services,Pittsburgh,PA,https://www.coastaleducationpartners.com,(118) 529-2979,info@coastaleducationpartners.com,109,24650000,2014,https://www.linkedin.com/company/coastaleducationpartners,,LinkedIn Company Search,"Coastal Education Partners is a tutoring services business based in Pittsburgh, PA, operating in the education & training space since 2014."
80,Cascade Consulting Group,Professional Services,Law Firm,Raleigh,NC,https://www.cascadeconsultinggroup.com,(209) 131-7232,info@cascadeconsultinggroup.com,221,28870000,1979,https://www.linkedin.com/company/cascadeconsultinggroup,hiring,Google Maps,"Cascade Consulting Group is a law firm business based in Raleigh, NC, operating in the professional services space since 1979."
81,Cedarbrook Works,Manufacturing,Metal Fabrication,Richmond,VA,https://www.cedarbrookworks.com,(184) 828-2253,info@cedarbrookworks.com,56,9300000,2021,https://www.linkedin.com/company/cedarbrookworks,expanded service area;press mention,Google Maps,"Cedarbrook Works is a metal fabrication business based in Richmond, VA, operating in the manufacturing space since 2021."
82,Highland Systems,IT Services & MSP,Cloud Consulting,Portland,OR,https://www.highlandsystems.com,(611) 316-5653,info@highlandsystems.com,142,23690000,1983,https://www.linkedin.com/company/highlandsystems,new location opened,Industry Directory,"Highland Systems is a cloud consulting business based in Portland, OR, operating in the it services & msp space since 1983."
83,Apex Partners,Professional Services,Staffing Agency,Sacramento,CA,https://www.apexpartners.com,(903) 573-3958,info@apexpartners.com,101,24240000,2022,https://www.linkedin.com/company/apexpartners,hiring,LinkedIn Company Search,"Apex Partners is a staffing agency business based in Sacramento, CA, operating in the professional services space since 2022."
84,Sterling Clinic Group,Healthcare Services,Home Health Care,Denver,CO,https://www.sterlingclinicgroup.com,(131) 267-5896,info@sterlingclinicgroup.com,241,38980000,1986,,new location opened;expanded service area,Google Maps,"Sterling Clinic Group is a home health care business based in Denver, CO, operating in the healthcare services space since 1986."
85,Meridian Supply Co,Logistics & Distribution,Wholesale Distribution,Tampa,FL,https://www.meridiansupplyco.com,(505) 239-5549,info@meridiansupplyco.com,243,56170000,1996,https://www.linkedin.com/company/meridiansupplyco,website redesign;press mention,State Business Registry,"Meridian Supply Co is a wholesale distribution business based in Tampa, FL, operating in the logistics & distribution space since 1996."
86,Highland Fleet Co,Automotive Services,Car Wash Chain,Omaha,NE,,(765) 888-1892,,164,28610000,2018,https://www.linkedin.com/company/highlandfleetco,recent leadership change,Industry Directory,"Highland Fleet Co is a car wash chain business based in Omaha, NE, operating in the automotive services space since 2018."
87,Cedarbrook Air Solutions,HVAC & Home Services,HVAC Installation,Tampa,FL,https://www.cedarbrookairsolutions.com,(626) 529-4159,info@cedarbrookairsolutions.com,81,7750000,1986,https://www.linkedin.com/company/cedarbrookairsolutions,hiring;press mention;expanded service area,LinkedIn Company Search,"Cedarbrook Air Solutions is a hvac installation business based in Tampa, FL, operating in the hvac & home services space since 1986."
